gene_name	source	accession	description
GRMZM2G417382	RefSeq peptide	NP_001141965	hypothetical protein LOC100274114 
GRMZM2G041028	RefSeq peptide	NP_001131507	hypothetical protein LOC100192845 
GRMZM2G083475	RefSeq peptide	NP_001132306	hypothetical protein LOC100193748 
GRMZM2G029039	RefSeq peptide	NP_001148154	kelch motif family protein 
GRMZM2G169449	RefSeq peptide	NP_001130920	hypothetical protein LOC100192025 
GRMZM2G109885	RefSeq peptide	NP_001168767	hypothetical protein LOC100382564 
GRMZM2G052515	RefSeq peptide	NP_001130952	hypothetical protein LOC100192057 
GRMZM2G044569	RefSeq peptide	NP_001148677	LOC100282293 
GRMZM2G063024	RefSeq peptide	NP_001152517	LOC100286157 
GRMZM2G474864	RefSeq DNA	NM_001159177	bZIP protein (LOC100286290), mRNA
GRMZM2G108514	RefSeq peptide	NP_001142212	hypothetical protein LOC100274380 
GRMZM2G072578	RefSeq peptide	NP_001130468	hypothetical protein LOC100191566 
GRMZM2G068826	RefSeq peptide	NP_001144801	hypothetical protein LOC100277874 
GRMZM2G026780	RefSeq peptide	NP_001142527	hypothetical protein LOC100274767 
GRMZM2G124797	UniProtKB/TrEMBL	C4J2G6	Putative uncharacterized protein 
GRMZM2G070232	RefSeq peptide	NP_001132670	hypothetical protein LOC100194147 
GRMZM2G147346	RefSeq peptide	NP_001170585	hypothetical protein LOC100384616 
GRMZM2G087079	RefSeq peptide	NP_001168569	hypothetical protein LOC100382352 
GRMZM2G113202	UniProtKB/TrEMBL	Q9XFK8	Myosin VIII ZMM3 Fragment 
GRMZM2G009208	RefSeq peptide	NP_001168161	hypothetical protein LOC100381913 
GRMZM2G072653	UniProtKB/TrEMBL	B6TT18	Cytochrome P450 CYP74A18 
GRMZM2G119104	RefSeq peptide	NP_001144705	hypothetical protein LOC100277741 
GRMZM2G175574	RefSeq peptide	NP_001167706	hypothetical protein LOC100381393 
GRMZM2G157806	RefSeq peptide	NP_001152714	TPD1 
GRMZM2G180195	RefSeq peptide	NP_001130541	hypothetical protein LOC100191640 
GRMZM2G179366	RefSeq peptide	NP_001149863	GAGA-binding protein 
GRMZM2G072553	RefSeq DNA	NM_001175295	hypothetical protein LOC100382563 (LOC100382563), mRNA
GRMZM2G327208	UniProtKB/TrEMBL	B4FXZ0	Putative uncharacterized protein 
GRMZM2G030850	RefSeq peptide	NP_001149928	glucan endo-1,3-beta-glucosidase 7 
GRMZM2G042920	RefSeq peptide	NP_001140849	hypothetical protein LOC100272925 
GRMZM2G171236	RefSeq peptide	NP_001151169	mitochondrial NADH ubiquinone oxidoreductase 13kD-like subunit 
GRMZM2G179354	RefSeq peptide	NP_001168659	hypothetical protein LOC100382447 
GRMZM2G321010	RefSeq peptide	NP_001144959	hypothetical protein LOC100278096 
GRMZM2G028500	RefSeq peptide	NP_001142814	hypothetical protein LOC100275193 
GRMZM2G042704	RefSeq peptide	NP_001144587	hypothetical protein LOC100277602 
GRMZM2G109831	RefSeq DNA	NM_001136601	hypothetical protein LOC100191166 (LOC100191166), mRNA
GRMZM2G159975	RefSeq peptide	NP_001143849	hypothetical protein LOC100276640 
AC208201.3_FG002	RefSeq peptide	NP_001169546	hypothetical protein LOC100383423 
GRMZM2G169372	RefSeq peptide	NP_001151632	dehydrin 13 
GRMZM2G043819	RefSeq peptide	NP_001148941	LOC100282561 
GRMZM2G031870	RefSeq peptide	NP_001168849	hypothetical protein LOC100382654 
GRMZM2G409133	RefSeq peptide	NP_001147645	oxidoreductase 
GRMZM2G107473	RefSeq peptide	NP_001132534	hypothetical protein LOC100193997 
GRMZM2G438386	RefSeq peptide	NP_001105872	LOC732784 
GRMZM2G121570	RefSeq peptide	NP_001132209	hypothetical protein LOC100193638 
GRMZM2G006676	RefSeq peptide	NP_001142569	hypothetical protein LOC100274829 
GRMZM2G086003	RefSeq peptide	NP_001141316	hypothetical protein LOC100273407 
GRMZM2G164558	RefSeq peptide	NP_001147411	plastoquinol-plastocyanin reductase 
GRMZM2G174574	RefSeq peptide	NP_001146510	hypothetical protein LOC100280100 
GRMZM2G457178	RefSeq peptide	NP_001168013	hypothetical protein LOC100381737 
GRMZM2G107495	UniProtKB/TrEMBL	C4J9N7	Putative uncharacterized protein 
GRMZM2G108371	UniProtKB/TrEMBL	B6TMP3	Putative uncharacterized protein 
GRMZM2G167824	RefSeq peptide	NP_001105723	yabby10 protein 
GRMZM2G169432	RefSeq peptide	NP_001149029	LOC100282649 
GRMZM2G107499	RefSeq DNA	NM_001150065	hypothetical protein LOC100276227 (LOC100276227), mRNA
GRMZM2G133198	RefSeq peptide	NP_001143937	hypothetical protein LOC100276750 
GRMZM2G110616	RefSeq peptide	NP_001169640	hypothetical protein LOC100383521 
GRMZM2G048616	RefSeq peptide	NP_001130207	hypothetical protein LOC100191301 
GRMZM2G480698	RefSeq DNA	NM_001177235	hypothetical protein LOC100384784 (LOC100384784), mRNA
GRMZM2G019641	UniProtKB/TrEMBL	B6SX77	Putative uncharacterized protein 
GRMZM2G145460	RefSeq peptide	NP_001169245	hypothetical protein LOC100383103 
GRMZM2G079319	RefSeq peptide	NP_001142029	hypothetical protein LOC100274183 
GRMZM2G047019	RefSeq peptide	NP_001140241	hypothetical protein LOC100272282 
AC195608.3_FG005	RefSeq peptide	NP_001170140	hypothetical protein LOC100384067 
AC187891.3_FG006	UniProtKB/TrEMBL	B6TPD7	Putative uncharacterized protein 
GRMZM2G083677	RefSeq peptide	NP_001136690	hypothetical protein LOC100216822 
GRMZM2G379179	RefSeq peptide	NP_001145889	hypothetical protein LOC100279405 
GRMZM2G145480	UniProtKB/TrEMBL	C4J8S8	Putative uncharacterized protein 
GRMZM2G043530	RefSeq DNA	NM_001176809	hypothetical protein LOC100384243 (LOC100384243), mRNA
GRMZM2G006977	RefSeq peptide	NP_001170016	hypothetical protein LOC100383926 
GRMZM2G160752	RefSeq peptide	NP_001142360	hypothetical protein LOC100274531 
GRMZM2G134985	RefSeq DNA	NM_001150477	hypothetical protein LOC100276762 (LOC100276762), mRNA
GRMZM2G148411	RefSeq peptide	NP_001146616	hypothetical protein LOC100280213 
GRMZM2G046700	RefSeq peptide	NP_001141004	hypothetical protein LOC100273083 
GRMZM2G058158	RefSeq peptide	NP_001141981	hypothetical protein LOC100274131 
GRMZM2G078569	RefSeq DNA	NM_001138912	LOC100193830 (pco103958), mRNA
AC194650.1_FG011	RefSeq peptide	NP_001143057	hypothetical protein LOC100275526 
GRMZM2G081822	RefSeq peptide	NP_001169194	hypothetical protein LOC100383047 
GRMZM2G467187	RefSeq peptide	NP_001131506	hypothetical protein LOC100192844 
GRMZM2G169704	RefSeq peptide	NP_001136828	hypothetical protein LOC100216976 
GRMZM2G070825	RefSeq peptide	NP_001130647	hypothetical protein LOC100191748 
GRMZM2G092719	RefSeq peptide	NP_001141088	hypothetical protein LOC100273170 
GRMZM2G081910	RefSeq peptide	NP_001143367	hypothetical protein LOC100275997 
GRMZM2G168744	RefSeq peptide	NP_001141623	hypothetical protein LOC100273742 
GRMZM2G083248	RefSeq peptide	NP_001141577	hypothetical protein LOC100273693 
GRMZM2G080355	RefSeq peptide	NP_001145142	hypothetical protein LOC100278372 
GRMZM2G107689	RefSeq peptide	NP_001150597	serine/threonine-protein kinase 12 
GRMZM2G176277	UniProtKB/TrEMBL	B6TTM1	Putative uncharacterized protein 
GRMZM2G099598	RefSeq DNA	NM_001147922	hypothetical protein LOC100273485 (LOC100273485), mRNA
GRMZM2G023906	RefSeq DNA	NM_001149498	hypothetical protein LOC100275423 (LOC100275423), mRNA
GRMZM2G058032	RefSeq peptide	NP_001149523	LOC100283149 
GRMZM2G172098	RefSeq peptide	NP_001136742	hypothetical protein LOC100216883 
GRMZM2G120085	RefSeq peptide	NP_001145743	hypothetical protein LOC100279250 
GRMZM2G040828	RefSeq peptide	NP_001136913	hypothetical protein LOC100217071 
GRMZM2G421491	UniProtKB/TrEMBL	B8YPX7	Glutathione transporter 
GRMZM2G107645	RefSeq DNA	NM_001157125	serine/threonine-protein kinase 12 (LOC100284230), mRNA
GRMZM2G131205	RefSeq peptide	NP_001105488	cinnamoyl CoA reductase1 
GRMZM2G113062	RefSeq peptide	NP_001142052	hypothetical protein LOC100274208 
GRMZM2G344388	RefSeq peptide	NP_001140249	hypothetical protein LOC100272290 
GRMZM2G496790	UniProtKB/TrEMBL	B6TRA4	Putative uncharacterized protein 
GRMZM2G022804	RefSeq peptide	NP_001140599	hypothetical protein LOC100272670 
GRMZM2G099860	RefSeq peptide	NP_001136981	trehalose-6-phosphate synthase 
GRMZM2G032046	RefSeq peptide	NP_001167884	hypothetical protein LOC100381592 
AC186603.6_FG003	UniProtKB/TrEMBL	B6U021	Cytochrome P450 CYP76M15 
GRMZM2G177928	RefSeq peptide	NP_001150008	strictosidine synthase 
GRMZM2G452526	RefSeq peptide	NP_001149199	F-box domain containing protein 
GRMZM2G146000	RefSeq peptide	NP_001142267	hypothetical protein LOC100274436 
GRMZM2G104310	UniProtKB/TrEMBL	Q8W523	Glycine cleavage complex P-protein Fragment 
GRMZM2G145974	RefSeq DNA	NM_001158174	ethylene-responsive protein (LOC100285281), mRNA
GRMZM2G050514	UniProtKB/Swiss-Prot	P38559	Glutamine synthetase root isozyme 1 (EC 6.3.1.2)(GS122)(Glutamate--ammonia ligase)
GRMZM2G145950	RefSeq peptide	NP_001143323	hypothetical protein LOC100275906 
GRMZM2G020446	RefSeq peptide	NP_001141045	hypothetical protein LOC100273126 
GRMZM2G099944	RefSeq peptide	NP_001168917	hypothetical protein LOC100382727 
GRMZM2G016671	UniProtKB/TrEMBL	Q6DUC4	Tousled-like kinase 1 Fragment 
GRMZM2G164113	RefSeq peptide	NP_001143347	hypothetical protein LOC100275960 
GRMZM2G176548	RefSeq peptide	NP_001145040	hypothetical protein LOC100278223 
GRMZM2G176558	RefSeq peptide	NP_001142684	hypothetical protein LOC100274981 
GRMZM2G476148	UniProtKB/TrEMBL	B6T1X8	Putative uncharacterized protein 
GRMZM2G089860	RefSeq peptide	NP_001132866	hypothetical protein LOC100194359 
GRMZM2G089976	RefSeq peptide	NP_001149181	LOC100282803 
GRMZM2G119494	RefSeq peptide	NP_001151102	glycoside hydrolase, family 28 
GRMZM2G119736	RefSeq peptide	NP_001151098	LOC100284731 
GRMZM2G165422	RefSeq peptide	NP_001169654	hypothetical protein LOC100383535 
GRMZM2G327059	RefSeq peptide	NP_001148180	BEL1-related homeotic protein 14 
GRMZM2G358279	RefSeq peptide	NP_001142263	hypothetical protein LOC100274432 
GRMZM2G092483	RefSeq peptide	NP_001106046	LOC100125645 
GRMZM2G159431	UniProtKB/Swiss-Prot	P56659	Homeobox protein knotted-1-like 1 Fragment 
GRMZM2G043799	RefSeq peptide	NP_001151810	nodulation receptor kinase 
GRMZM2G070259	RefSeq peptide	NP_001151236	RNA binding protein 
GRMZM2G070047	RefSeq peptide	NP_001150102	ubiquitin-conjugating enzyme E2 I 
GRMZM2G028521	RefSeq peptide	NP_001151517	LOC100285151 
GRMZM2G026608	UniProtKB/TrEMBL	B6UGD4	Putative uncharacterized protein 
GRMZM2G105415	RefSeq peptide	NP_001136986	hypothetical protein LOC100217148 
GRMZM2G072041	RefSeq peptide	NP_001130614	hypothetical protein LOC100191713 
GRMZM2G311165	RefSeq peptide	NP_001132233	hypothetical protein LOC100193668 
GRMZM2G117855	UniProtKB/TrEMBL	B6U414	Putative uncharacterized protein 
GRMZM2G087918	RefSeq peptide	NP_001143018	hypothetical protein LOC100275482 
GRMZM2G023575	RefSeq peptide	NP_001151044	LOC100284677 
GRMZM2G005624	RefSeq peptide	NP_001142313	hypothetical protein LOC100274482 
GRMZM2G093197	RefSeq peptide	NP_001131566	hypothetical protein LOC100192907 
GRMZM2G315601	RefSeq peptide	NP_001105476	embryo surrounding region2 
GRMZM2G005844	RefSeq peptide	NP_001143136	hypothetical protein LOC100275615 
GRMZM2G093125	RefSeq peptide	NP_001152297	LOC100285936 
GRMZM2G127635	RefSeq peptide	NP_001131471	hypothetical protein LOC100192806 
GRMZM2G113401	RefSeq peptide	NP_001143961	hypothetical protein LOC100276776 
GRMZM2G113351	UniProtKB/TrEMBL	C4JB15	Putative uncharacterized protein 
GRMZM2G109589	RefSeq peptide	NP_001140814	hypothetical protein LOC100272889 
GRMZM2G109431	RefSeq peptide	NP_001130837	hypothetical protein LOC100191941 
GRMZM2G153393	UniProtKB/TrEMBL	C0PG63	Putative uncharacterized protein 
GRMZM2G315321	RefSeq DNA	NM_001154057	ethylene-responsive element binding protein 2 (LOC100281138), mRNA
GRMZM2G034025	RefSeq peptide	NP_001132421	hypothetical protein LOC100193870 
GRMZM2G147051	RefSeq peptide	NP_001146571	hypothetical protein LOC100280167 
GRMZM2G430646	RefSeq peptide	NP_001132378	hypothetical protein LOC100193824 
GRMZM2G034508	RefSeq peptide	NP_001144076	hypothetical protein LOC100276905 
GRMZM2G000219	RefSeq peptide	NP_001150997	copper-transporting ATPase PAA1 
GRMZM2G000209	RefSeq peptide	NP_001131499	hypothetical protein LOC100192836 
GRMZM2G128491	RefSeq peptide	NP_001143558	hypothetical protein LOC100276254 
GRMZM2G085409	RefSeq peptide	NP_001137081	hypothetical protein LOC100217254 
GRMZM2G413337	RefSeq peptide	NP_001143841	hypothetical protein LOC100276624 
GRMZM2G478553	RefSeq DNA	NM_001176660	hypothetical protein LOC100384058 (LOC100384058), mRNA
GRMZM2G407846	RefSeq peptide	YP_588335	hypothetical protein ZeamMp073 
GRMZM2G121440	RefSeq peptide	NP_001132603	hypothetical protein LOC100194075 
GRMZM2G049296	RefSeq peptide	NP_001147640	FYVE zinc finger family protein 
GRMZM2G051330	RefSeq peptide	NP_001141983	hypothetical protein LOC100274133 
GRMZM2G105198	RefSeq DNA	NM_001152172	hypothetical protein LOC100279132 (LOC100279132), mRNA
GRMZM2G114046	RefSeq peptide	NP_001170097	hypothetical protein LOC100384015 
GRMZM2G044805	RefSeq DNA	NM_001159019	charged multivesicular body protein 4b (LOC100286131), mRNA
GRMZM2G020272	RefSeq peptide	NP_001168706	hypothetical protein LOC100382498 
GRMZM2G068613	RefSeq peptide	NP_001136659	hypothetical protein LOC100216788 
GRMZM2G177231	RefSeq DNA	NM_001157664	tac7077 (LOC100284769), mRNA
GRMZM2G050166	RefSeq peptide	NP_001140344	hypothetical protein LOC100272392 
GRMZM2G013607	RefSeq peptide	NP_001136566	hypothetical protein LOC100216688 
GRMZM2G408174	RefSeq peptide	NP_001132845	hypothetical protein LOC100194337 
GRMZM2G114172	RefSeq peptide	NP_001149046	ubiquitin-like domain containing CTD phosphatase 1 
GRMZM2G048557	RefSeq peptide	NP_001147665	39S ribosomal protein L47 
GRMZM2G140782	RefSeq peptide	NP_001159345	hypothetical protein LOC100304440 
GRMZM2G124365	RefSeq peptide	NP_001145983	hypothetical protein LOC100279511 
GRMZM2G156206	RefSeq peptide	NP_001141557	hypothetical protein LOC100273673 
GRMZM2G152177	RefSeq peptide	NP_001136953	hypothetical protein LOC100217112 
GRMZM2G063431	UniProtKB/TrEMBL	B6SMQ8	Putative uncharacterized protein 
GRMZM2G135960	RefSeq peptide	NP_001152914	hypothetical protein LOC100277675 
GRMZM2G012863	RefSeq peptide	NP_001146139	hypothetical protein LOC100279707 
GRMZM2G128215	RefSeq peptide	NP_001150772	F-box protein interaction domain containing protein 
GRMZM2G048846	RefSeq peptide	NP_001150811	caltractin 
GRMZM2G136032	UniProtKB/Swiss-Prot	Q9ATN0	Aquaporin PIP1-6 (Plasma membrane intrinsic protein 1-6)(ZmPIP1-6)(ZmPIP1;6)
GRMZM2G005483	UniProtKB/TrEMBL	D3KCC3	SUN4 
GRMZM2G080937	RefSeq DNA	NM_001152726	hypothetical protein LOC100279768 (LOC100279768), mRNA
GRMZM2G119722	RefSeq peptide	NP_001131263	hypothetical protein LOC100192576 
GRMZM2G046618	UniProtKB/TrEMBL	C0PD62	Putative uncharacterized protein 
GRMZM2G063729	RefSeq peptide	NP_001141039	hypothetical protein LOC100273119 
GRMZM2G140754	RefSeq peptide	NP_001136544	hypothetical protein LOC100216661 
GRMZM2G180555	RefSeq peptide	NP_001169600	hypothetical protein LOC100383481 
GRMZM2G080120	RefSeq peptide	NP_001151811	nucleic acid binding protein 
GRMZM2G084391	RefSeq DNA	NM_001153793	protein transport protein Sec61 beta subunit (LOC100280873), mRNA
GRMZM2G348921	RefSeq peptide	NP_001168167	hypothetical protein LOC100381920 
GRMZM2G084429	UniProtKB/TrEMBL	B6T337	Putative uncharacterized protein 
GRMZM2G029082	RefSeq peptide	NP_001169644	hypothetical protein LOC100383525 
GRMZM2G048806	RefSeq peptide	NP_001159343	hypothetical protein LOC100304438 
GRMZM2G124321	RefSeq peptide	NP_001146614	hypothetical protein LOC100280211 
GRMZM2G135501	RefSeq peptide	NP_001142987	hypothetical protein LOC100275448 
GRMZM2G094356	UniProtKB/Swiss-Prot	B6UBY6	UPF0497 membrane protein 17 (Vegetative cell wall protein gp1)
GRMZM2G110044	RefSeq peptide	NP_001167775	hypothetical protein LOC100381468 
AC216871.3_FG004	RefSeq DNA	NM_001148648	hypothetical protein LOC100274284 (LOC100274284), mRNA
GRMZM2G057111	UniProtKB/TrEMBL	B6TPB5	Putative uncharacterized protein 
GRMZM2G171179	RefSeq peptide	NP_001146231	hypothetical protein LOC100279803 
GRMZM2G110034	RefSeq peptide	NP_001151375	sorbitol transporter 
GRMZM2G060876	UniProtKB/TrEMBL	Q5GAQ0	Putative uncharacterized protein 
GRMZM2G308595	RefSeq peptide	NP_001149038	nudix hydrolase 4 
GRMZM2G000909	RefSeq peptide	NP_001130214	hypothetical protein LOC100191308 
GRMZM2G054032	UniProtKB/TrEMBL	Q5GAU2	F-box protein 
GRMZM2G025242	RefSeq peptide	NP_001150046	LOC100283673 
GRMZM2G050333	RefSeq peptide	NP_001145366	hypothetical protein LOC100278704 
GRMZM2G424873	RefSeq peptide	NP_001130150	hypothetical protein LOC100191244 
GRMZM2G050607	RefSeq peptide	NP_001152646	late embryogenesis abundant protein Lea14-A 
GRMZM2G067672	UniProtKB/TrEMBL	Q5NKQ2	Putative uncharacterized protein 9C20.3a 
GRMZM2G060194	RefSeq peptide	NP_001141559	hypothetical protein LOC100273675 
GRMZM2G351775	UniProtKB/TrEMBL	B6U8P9	Putative uncharacterized protein 
GRMZM2G350319	RefSeq peptide	NP_001168600	hypothetical protein LOC100382384 
GRMZM2G067624	RefSeq peptide	NP_001150236	LOC100283866 
GRMZM2G424857	RefSeq peptide	NP_001141925	hypothetical protein LOC100274074 
GRMZM2G370155	RefSeq peptide	NP_001143457	hypothetical protein LOC100276116 
GRMZM2G068294	RefSeq peptide	NP_001144058	hypothetical protein LOC100276883 
GRMZM2G082855	RefSeq peptide	NP_001146239	hypothetical protein LOC100279811 
GRMZM2G124091	RefSeq peptide	NP_001152254	deoxycytidylate deaminase 
GRMZM2G455068	RefSeq peptide	NP_001143067	hypothetical protein LOC100275539 
GRMZM2G018006	RefSeq peptide	NP_001146049	hypothetical protein LOC100279580 
GRMZM2G124047	RefSeq peptide	NP_001136852	hypothetical protein LOC100217003 
GRMZM2G072205	RefSeq peptide	NP_001146702	hypothetical protein LOC100280304 
GRMZM2G118690	RefSeq peptide	NP_001141822	hypothetical protein LOC100273963 
GRMZM2G122061	RefSeq peptide	NP_001141317	hypothetical protein LOC100273408 
GRMZM2G396562	RefSeq peptide	NP_001148105	LOC100281713 
GRMZM2G031545	RefSeq peptide	NP_001149263	elongation factor 1-delta 1 
GRMZM2G083012	RefSeq peptide	NP_001144247	hypothetical protein LOC100277115 
GRMZM2G008859	RefSeq peptide	NP_001143397	hypothetical protein LOC100276039 
GRMZM2G462325	RefSeq peptide	NP_001141943	hypothetical protein LOC100274092 
GRMZM2G050550	RefSeq peptide	NP_001151336	sucrose responsive element binding protein 
GRMZM2G044788	RefSeq peptide	NP_001142637	hypothetical protein LOC100274914 
GRMZM2G331754	RefSeq peptide	NP_001145443	hypothetical protein LOC100278821 
GRMZM2G474088	RefSeq peptide	NP_001145330	hypothetical protein LOC100278655 
GRMZM2G335685	RefSeq peptide	NP_001145606	hypothetical protein LOC100279084 
GRMZM2G109738	RefSeq peptide	NP_001149925	speckle-type POZ protein 
GRMZM2G146240	RefSeq peptide	NP_001143786	hypothetical protein LOC100276553 
GRMZM2G405760	RefSeq peptide	NP_001143643	hypothetical protein LOC100276365 
GRMZM2G058472	RefSeq peptide	NP_001152387	LOC100286027 
GRMZM2G044720	RefSeq peptide	NP_001141612	hypothetical protein LOC100273730 
GRMZM2G077162	RefSeq peptide	NP_001142608	hypothetical protein LOC100274876 
GRMZM2G154946	UniProtKB/TrEMBL	A8I429	Required to maintain repression 1 
GRMZM2G390876	RefSeq peptide	NP_001167790	hypothetical protein LOC100381483 
GRMZM2G170281	RefSeq peptide	NP_001146016	hypothetical protein LOC100279547 
AC191246.3_FG006	RefSeq peptide	NP_001168520	hypothetical protein LOC100382300 
GRMZM2G442148	RefSeq peptide	NP_001136718	hypothetical protein LOC100216854 
GRMZM2G367094	RefSeq peptide	NP_001142900	hypothetical protein LOC100275327 
GRMZM2G092409	RefSeq peptide	NP_001140853	hypothetical protein LOC100272929 
GRMZM2G033117	RefSeq DNA	NM_001155445	gda-1 (LOC100282537), mRNA
GRMZM2G452580	RefSeq peptide	NP_001168110	hypothetical protein LOC100381849 
GRMZM2G175870	RefSeq peptide	NP_001142351	hypothetical protein LOC100274522 
GRMZM2G101499	RefSeq peptide	NP_001105116	SBP-domain protein3 
GRMZM2G066528	RefSeq peptide	NP_001105649	HMG-like nucleosome/chromatin assembly factor D 
GRMZM2G094067	RefSeq peptide	NP_001150879	NAC domain-containing protein 78 
GRMZM2G145879	RefSeq peptide	NP_001141757	hypothetical protein LOC100273893 
GRMZM2G148709	RefSeq peptide	NP_001141350	hypothetical protein LOC100273441 
GRMZM2G028955	RefSeq peptide	NP_001141182	hypothetical protein LOC100273269 
GRMZM2G065956	RefSeq peptide	NP_001150377	50S ribosomal protein L12-2 
GRMZM2G101547	RefSeq peptide	NP_001131818	hypothetical protein LOC100193191 
GRMZM2G156684	RefSeq peptide	NP_001168316	hypothetical protein LOC100382082 
GRMZM2G065896	RefSeq peptide	NP_001148287	GATA transcription factor 25 
GRMZM2G060836	RefSeq peptide	NP_001131830	hypothetical protein LOC100193205 
GRMZM2G028889	RefSeq DNA	NM_001150632	hypothetical protein LOC100276942 (LOC100276942), mRNA
GRMZM2G122983	RefSeq peptide	NP_001136557	hypothetical protein LOC100216677 
GRMZM2G041394	RefSeq peptide	NP_001140470	hypothetical protein LOC100272529 
GRMZM2G020401	UniProtKB/TrEMBL	C4J9F3	Putative uncharacterized protein 
GRMZM2G098474	RefSeq peptide	NP_001141563	hypothetical protein LOC100273679 
GRMZM2G082976	UniProtKB/Swiss-Prot	Q4G2J4	Derlin-2.1 (ZmDerlin2-1)
GRMZM2G427337	RefSeq peptide	NP_001151561	LOC100285195 
GRMZM2G007249	RefSeq peptide	NP_001168580	hypothetical protein LOC100382364 
GRMZM2G086904	RefSeq DNA	NM_001155440	DNA-directed RNA polymerases I, II, and III 14.4 kDa polypeptide (LOC100282532), mRNA
GRMZM2G146553	RefSeq peptide	NP_001132316	hypothetical protein LOC100193758 
GRMZM2G101523	RefSeq peptide	NP_001144997	hypothetical protein LOC100278158 
GRMZM2G006416	RefSeq peptide	NP_001168504	hypothetical protein LOC100382283 
GRMZM2G121494	RefSeq peptide	NP_001105792	pgr5 protein 
GRMZM2G123037	RefSeq peptide	NP_001170655	hypothetical protein LOC100384710 
GRMZM2G384070	RefSeq peptide	NP_001132229	hypothetical protein LOC100193664 
GRMZM2G069290	RefSeq peptide	NP_001158894	hypothetical protein LOC100303785 
GRMZM2G386714	RefSeq peptide	NP_001146902	lysyl-tRNA synthetase 
GRMZM2G145236	UniProtKB/TrEMBL	C0HHY3	Putative uncharacterized protein 
GRMZM2G012631	RefSeq peptide	NP_001170480	HSP protein 
GRMZM2G452453	RefSeq peptide	NP_001159032	hypothetical protein LOC100304049 
GRMZM2G020255	RefSeq peptide	NP_001143981	hypothetical protein LOC100276799 
GRMZM2G017923	RefSeq peptide	NP_001130891	hypothetical protein LOC100191995 
GRMZM2G096412	RefSeq peptide	NP_001132354	hypothetical protein LOC100193798 
GRMZM2G094353	RefSeq peptide	NP_001132718	hypothetical protein LOC100194201 
GRMZM2G093359	RefSeq peptide	NP_001131569	hypothetical protein LOC100192910 
GRMZM2G071196	RefSeq DNA	NM_001147180	hypothetical protein LOC100272727 (LOC100272727), mRNA
GRMZM2G134980	RefSeq peptide	NP_001146715	hypothetical protein LOC100280317 
GRMZM2G037865	RefSeq peptide	NP_001150071	NF-180 
GRMZM2G018103	RefSeq peptide	NP_001130490	hypothetical protein LOC100191588 
GRMZM2G152553	RefSeq peptide	NP_001145486	hypothetical protein LOC100278881 
GRMZM2G018573	RefSeq peptide	NP_001145631	hypothetical protein LOC100279118 
GRMZM2G153263	RefSeq peptide	NP_001140390	hypothetical protein LOC100272444 
GRMZM2G040424	RefSeq peptide	NP_001146502	hypothetical protein LOC100280092 
GRMZM2G090300	RefSeq peptide	NP_001141342	hypothetical protein LOC100273433 
GRMZM2G100391	RefSeq peptide	NP_001151253	LOC100284886 
GRMZM2G440866	RefSeq peptide	NP_001151289	RING-H2 finger protein ATL2B 
GRMZM2G066923	RefSeq peptide	NP_001151494	nucleoside transporter 
GRMZM2G440968	UniProtKB/TrEMBL	Q4FZ53	Putative cystatinPutative uncharacterized protein ;
GRMZM2G357688	RefSeq peptide	NP_001148715	zinc finger protein 2 
GRMZM2G180898	UniProtKB/TrEMBL	B4FEK6	Putative uncharacterized protein 
GRMZM2G117430	UniProtKB/TrEMBL	B6SJJ0	Putative uncharacterized protein 
GRMZM2G109039	RefSeq peptide	NP_001169229	hypothetical protein LOC100383087 
GRMZM2G117436	UniProtKB/TrEMBL	B6SJJ0	Putative uncharacterized protein 
GRMZM2G140758	UniProtKB/TrEMBL	B6TGT9	Putative uncharacterized protein 
GRMZM2G140824	RefSeq peptide	NP_001142154	hypothetical protein LOC100274319 
GRMZM2G440902	RefSeq peptide	NP_001151875	indole-3-acetate beta-glucosyltransferase 
GRMZM2G110735	RefSeq peptide	NP_001142480	hypothetical protein LOC100274698 
GRMZM2G403149	RefSeq peptide	NP_001142481	hypothetical protein LOC100274701 
GRMZM2G176270	RefSeq peptide	NP_001132011	hypothetical protein LOC100193417 
GRMZM2G175698	RefSeq peptide	NP_001152385	lyase 
GRMZM2G071378	RefSeq peptide	NP_001150661	integral membrane protein like 
GRMZM2G034024	RefSeq peptide	NP_001170320	hypothetical protein LOC100384287 
GRMZM2G071288	RefSeq peptide	NP_001170518	hypothetical protein LOC100384529 
GRMZM2G063792	RefSeq peptide	NP_001146808	hypothetical protein LOC100280413 
GRMZM2G007757	RefSeq peptide	NP_001141987	hypothetical protein LOC100274137 
GRMZM2G116258	RefSeq peptide	NP_001132069	hypothetical protein LOC100193482 
GRMZM2G033952	RefSeq peptide	NP_001152511	caffeoyl-CoA O-methyltransferase 1 
GRMZM2G117854	RefSeq peptide	NP_001140465	hypothetical protein LOC100272524 
GRMZM2G332522	RefSeq peptide	NP_001152451	LOC100286091 
GRMZM2G071166	RefSeq peptide	NP_001146499	hypothetical protein LOC100280089 
GRMZM2G117582	UniProtKB/Swiss-Prot	P41040	Calmodulin (CaM)
GRMZM2G006791	RefSeq peptide	NP_001149509	thylakoid-bound ascorbate peroxidase APx8 
GRMZM2G139031	RefSeq DNA	NM_001148304	hypothetical protein LOC100273912 (LOC100273912), mRNA
GRMZM2G130505	RefSeq peptide	NP_001150189	BTB/POZ domain containing protein 
GRMZM2G139035	RefSeq peptide	NP_001144789	hypothetical protein LOC100277858 
